Impf,CubEOT,Em2011,Wk2021
scenario,historical,historical,historical
metric,AAI_agg,AAI_agg,AAI_agg
CanESM5,0.0016403451978372285,0.015641857991953608,0.3222375177259231
CNRM-CM6-1,0.0057825533002956436,0.035546389630848,0.8592475498366899
CNRM-ESM2-1,0.004950380907030512,0.03132933045747,0.8100456227947718
EC-Earth3-Veg,0.003524222682452569,0.029679764068348907,0.5755696852091597
EC-Earth3-Veg-LR,0.0031556640922415554,0.03271530961343656,0.7369397201285433
IPSL-CM6A-LR,0.0014690725473710852,0.01712716525231512,0.3115810161917297
MIROC-ES2L,0.0018373231327264144,0.012899207805317258,0.20481394110049797
UKESM1-0-LL,0.0020854609263765236,0.21311110921028287,6.117194360503154
MRI-ESM2-0,0.002488660973554322,0.017469458758118884,0.2298295570275135
FGOALS-g3,0.005470877826369733,0.053940178841510464,1.422025953470058
ACCESS-ESM1-5,0.0033978095985690597,0.27417146515114327,7.85873975892642
MIROC6,0.0025884691227022684,0.28660404023361885,7.517779338776585
MPI-ESM1-2-LR,0.0032564059109743576,0.008939499042022306,0.19060099329083102
KACE-1-0-G,0.0018920456879173919,0.16040238849061209,4.449914982103186
